1460;Jaguariúna;São Paulo;SP
1462;Recife;Pernambuco;PE
1464;Recife;Pernambuco;PE
1471;Simões Filho;Bahia;BA
1475;Serra;Espírito Santo;ES
1478;Mogi das Cruzes;São Paulo;SP
1480;Curitiba;Paraná;PR
1484;Salvador;Bahia;BA
1485;Várzea Grande;Mato Grosso;MT
1486;Petrópolis;Rio de Janeiro;RJ
1487;Brasília;Distrito Federal;DF
1492;Curitiba;Paraná;PR
1493;Ipatinga;Minas Gerais;MG
1494;Nossa Senhora do Socorro;Sergipe;SE
1501;Curitiba;Paraná;PR
1504;Maringá;Paraná;PR
1515;Águas Lindas;Goiás;GO
1522;Fortaleza;Ceará;CE
1527;Feira de Santana;Bahia;BA
1532;Florianópolis;Santa Catarina;SC
1541;Goiânia;Goiás;GO
1547;Salvador;Bahia;BA
1555;Fortaleza;Ceará;CE
1562;Florianópolis;Santa Catarina;SC
1565;São Paulo;São Paulo;SP
1567;Sao Paulo;São Paulo;SP
1570;Brasília;Distrito Federal;DF
1571;Fortaleza;Ceará;CE
1574;Recife;Pernambuco;PE
1575;Comodoro;Mato Grosso;MT
1578;Cuiaba;Mato Grosso do Sul;MS
1580;Goiânia;Goiás;GO
1585;Curitiba;Paraná;PR
1586;Rio de Janeiro;Rio de Janeiro;RJ
1589;Rio de Janeiro; Rio de Janeiro;RJ
1591;Niteroi;Rio de Janeiro;RJ
1597;Belo Horizonte;Minas Gerais;MG
1599;Rio de Janeiro; Rio de Janeiro;RJ
1600;Sorocaba;São Paulo;SP
1605;Campina Grande;Paraíba;PB
1611;Recife;Pernambuco;PE
1614;Salvador;Bahia;BA
1615;Goiânia;Goiás;GO
1616;Salvador;Bahia;BA
1618;Recife;Pernambuco;PE
1620;Recife;Pernambuco;PE
1622;Guarujá;São Paulo;SP
1624;Recife;Pernambuco;PE
1626;Recife;Pernambuco;PE
1627;Fortaleza;Ceará;CE
1628;Recife;Pernambuco;PE
1629;Aracaju;Sergipe;SE
1632;Maceió;Alagoas;AL
1634;Natal;Rio Grande do Norte;RN
1639;Maceió;Alagoas;AL
1643;Recife;Pernambuco;PE
1646;Tubarão;Santa Catarina;SC
1651;Vila Velha;Espírito Santo;ES
1652;Maceió;Alagoas;AL
1660;Francisco Beltrão;Paraná;PR
